Year,Sport,Country,NOC,Prev_Sport_Medals,Athlete_Count,Is_Host,Population,GDP_per_capita,log_Pop,log_GDPpc,Gold,Silver,Bronze,Total_Medals
2008,Taekwondo,Afghanistan,AFG,0.0,2,0,27294031.0,2191.5044,17.122178628198355,7.692799731085829,0,0,1,1
2012,Taekwondo,Afghanistan,AFG,1.0,2,0,30696958.0,2985.319,17.239674152276525,8.001796804275132,0,0,1,1
2024,Wrestling,Albania,ALB,0.0,0,0,2947436.0,20591.486,14.896446537119433,9.932681530956001,0,0,2,2
1984,Boxing,Algeria,ALG,0.0,7,0,21893853.0,,16.901716516130755,,0,0,2,2
1992,Athletics,Algeria,ALG,0.0,9,0,27181094.0,,17.118032252851492,,1,0,0,1
1992,Boxing,Algeria,ALG,2.0,8,0,27181094.0,,17.118032252851492,,0,0,1,1
1996,Athletics,Algeria,ALG,1.0,8,0,29411415.0,,17.196893456259968,,1,0,0,1
1996,Boxing,Algeria,ALG,1.0,6,0,29411415.0,,17.196893456259968,,1,0,1,2
2000,Athletics,Algeria,ALG,1.0,21,0,31183660.0,,17.255404829710923,,1,1,2,4
2000,Boxing,Algeria,ALG,2.0,7,0,31183660.0,,17.255404829710923,,0,0,1,1
2008,Judo,Algeria,ALG,0.0,10,0,34860715.0,,17.366871137145278,,0,1,1,2
2012,Athletics,Algeria,ALG,4.0,6,0,37565847.0,,17.441605897735318,,1,0,0,1
2016,Athletics,Algeria,ALG,1.0,15,0,40606052.0,,17.5194277021293,,0,2,0,2
2024,Artistic Gymnastics,Algeria,ALG,0.0,0,0,45752995.0,,17.638767833880465,,1,0,0,1
2024,Athletics,Algeria,ALG,2.0,15,0,45752995.0,,17.638767833880465,,0,0,1,1
2024,Boxing,Algeria,ALG,1.0,7,0,45752995.0,,17.638767833880465,,1,0,0,1
1924,Athletics,Argentina,ARG,0.0,10,0,10050859.0,,16.123168760947575,,0,1,0,1
1924,Boxing,Argentina,ARG,0.0,10,0,10050859.0,,16.123168760947575,,0,2,2,4
1924,Polo,Argentina,ARG,0.0,5,0,10050859.0,,16.123168760947575,,1,0,0,1
1928,Boxing,Argentina,ARG,4.0,8,0,11292242.0,,16.23962658778391,,2,2,0,4
1928,Fencing,Argentina,ARG,0.0,9,0,11292242.0,,16.23962658778391,,0,0,1,1
1928,Football,Argentina,ARG,0.0,16,0,11292242.0,,16.23962658778391,,0,1,0,1
1928,Swimming,Argentina,ARG,0.0,4,0,11292242.0,,16.23962658778391,,1,0,0,1
1932,Athletics,Argentina,ARG,1.0,11,0,12411154.0,,16.33410622295479,,1,0,0,1
1932,Boxing,Argentina,ARG,4.0,8,0,12411154.0,,16.33410622295479,,2,1,0,3
1936,Boxing,Argentina,ARG,3.0,8,0,13279454.0,,16.401728662013806,,1,1,2,4
1936,Polo,Argentina,ARG,1.0,4,0,13279454.0,,16.401728662013806,,1,0,0,1
1936,Rowing,Argentina,ARG,0.0,3,0,13279454.0,,16.401728662013806,,0,0,1,1
1936,Swimming,Argentina,ARG,1.0,1,0,13279454.0,,16.401728662013806,,0,1,0,1
1948,Athletics,Argentina,ARG,1.0,24,0,16346870.0,,16.609547060845998,,1,1,0,2
1948,Boxing,Argentina,ARG,4.0,8,0,16346870.0,,16.609547060845998,,2,0,1,3
1948,Sailing,Argentina,ARG,0.0,13,0,16346870.0,,16.609547060845998,,0,1,0,1
1948,Shooting,Argentina,ARG,0.0,12,0,16346870.0,,16.609547060845998,,0,1,0,1
1952,Athletics,Argentina,ARG,2.0,16,0,17866096.0,,16.698415452536246,,0,1,0,1
